id;eventId;typeId;periodId;timeMin;timeSec;team_name;outcome;x;y;end_x;end_y;cross;ThrowIn;playerName;assist;keyPass;lb;shortName;shorter name;pro;x1_bin_xT;y1_bin_xT;x2_bin_xT;y2_bin_xT;start_zone_value_xT;end_zone_value_xT;xT
2847225799;3;Pass;1;0;0;27xvwccz8kpmqsefjv2b2sc0o;Successful;60.12;39.92;57.12;41.84;0;0;P. Aubameyang;;;0;P. Aubameyang;PA;-3.026861918934152;6.0;3.0;5.0;4.0;0.01689528;0.01484598;-0.0020492999999999987
2847225857;4;Pass;1;0;2;27xvwccz8kpmqsefjv2b2sc0o;Successful;53.64;38.0;40.559999999999995;22.8;0;0;M. O'Riley;;;0;M. O'Riley;MO;-14.890576861501472;5.0;3.0;3.0;2.0;0.01484598;0.01110462;-0.003741359999999999
2847225935;5;Pass;1;0;6;27xvwccz8kpmqsefjv2b2sc0o;Successful;42.24;23.92;38.76;53.52000000000001;0;0;B. Pavard;;;0;B. Pavard;BP;-2.9521302959649347;4.0;2.0;3.0;5.0;0.01269174;0.01110462;-0.0015871199999999992
2847225955;6;Pass;1;0;10;27xvwccz8kpmqsefjv2b2sc0o;Successful;35.76;50.400000000000006;23.279999999999998;39.760000000000005;0;0;F. Medina;;;0;F. Medina;FM;-11.840750170889692;3.0;5.0;2.0;3.0;0.01110462;0.01016549;-0.0009391300000000016
2847225969;7;Pass;1;0;12;27xvwccz8kpmqsefjv2b2sc0o;Successful;23.4;36.800000000000004;32.4;10.96;0;0;L. Balerdi;;;0;L. Balerdi;LB;4.364951476873188;2.0;3.0;3.0;1.0;0.01016549;0.0105949;0.0004294100000000016
2847226005;8;Pass;1;0;15;27xvwccz8kpmqsefjv2b2sc0o;Successful;32.879999999999995;10.96;33.239999999999995;18.16;0;0;B. Pavard;;;0;B. Pavard;BP;2.365883539417169;3.0;1.0;3.0;1.0;0.0105949;0.0105949;0.0
2847226011;9;Dispossessed;1;0;17;27xvwccz8kpmqsefjv2b2sc0o;Successful;36.96;8.08;0.0;0.0;0;0;G. Kondogbia;;;0;G. Kondogbia;GK;0.0;6.0;5.0;7.0;5.0;0.01685596;0.01935132;0.002495360000000002
2847226037;3;Tackle;1;0;17;3kq9cckrnlogidldtdie2fkbl;Successful;83.04;71.92;0.0;0.0;0;0;A. Güler;;;0;A. Güler;AG;0.0;6.0;3.0;5.0;4.0;0.01689528;0.01484598;-0.0020492999999999987
2847226075;4;Out;1;0;18;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;85.2;81.60000000000001;0.0;0.0;0;0;A. Güler;;;0;A. Güler;AG;0.0;5.0;3.0;3.0;2.0;0.01484598;0.01110462;-0.003741359999999999
2847226099;10;Out;1;0;18;27xvwccz8kpmqsefjv2b2sc0o;Successful;34.8;-1.6;0.0;0.0;0;0;G. Kondogbia;;;0;G. Kondogbia;GK;0.0;7.0;5.0;6.0;3.0;0.01935132;0.01689528;-0.002456040000000003
2847226271;11;Pass;1;0;35;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;31.439999999999998;0.0;44.879999999999995;14.32;0;Throw-in;B. Pavard;;;0;B. Pavard;BP;0.0;6.0;3.0;6.0;4.0;0.01689528;0.01689528;0.0
2847227013;18;Interception;1;0;36;3kq9cckrnlogidldtdie2fkbl;Successful;75.12;65.67999999999999;0.0;0.0;0;0;A. Tchouaméni;;;0;A. Tchouaméni;AT;0.0;;;;;;;
2847226275;12;Ball touch;1;0;37;27xvwccz8kpmqsefjv2b2sc0o;Successful;45.24;14.880000000000003;0.0;0.0;0;0;P. Aubameyang;;;0;P. Aubameyang;PA;0.0;6.0;4.0;6.0;6.0;0.01689528;0.01611813;-0.0007771499999999973
2847226301;5;Ball recovery;1;0;39;3kq9cckrnlogidldtdie2fkbl;Successful;65.52;54.800000000000004;0.0;0.0;0;0;Éder Militão;;;0;É. Militão;ÉM;0.0;4.0;2.0;3.0;5.0;0.01269174;0.01110462;-0.0015871199999999992
2847226395;6;Pass;1;0;42;3kq9cckrnlogidldtdie2fkbl;Successful;75.36;28.64;54.72;24.080000000000002;0;0;Éder Militão;;;0;É. Militão;ÉM;-21.130415572938688;3.0;5.0;2.0;3.0;0.01110462;0.01016549;-0.0009391300000000016
2847226435;7;Pass;1;0;46;3kq9cckrnlogidldtdie2fkbl;Successful;55.199999999999996;24.72;45.24;50.400000000000006;0;0;T. Alexander-Arnold;;;0;T. Alexander-Arnold;TA;-8.902753960094188;2.0;3.0;3.0;1.0;0.01016549;0.0105949;0.0004294100000000016
2847226489;8;Pass;1;0;48;3kq9cckrnlogidldtdie2fkbl;Successful;44.879999999999995;48.080000000000005;64.92;53.760000000000005;0;0;Dean Huijsen;;;0;D. Huijsen;DH;18.780557806639862;3.0;1.0;3.0;1.0;0.0105949;0.0105949;0.0
2847226521;9;Pass;1;0;51;3kq9cckrnlogidldtdie2fkbl;Successful;66.72;51.84;77.16;54.48;0;0;A. Tchouaméni;;;0;A. Tchouaméni;AT;9.358734599581702;6.0;5.0;7.0;5.0;0.01685596;0.01935132;0.002495360000000002
2847226541;10;Pass;1;0;54;3kq9cckrnlogidldtdie2fkbl;Successful;72.36;51.2;63.959999999999994;38.0;0;0;K. Mbappé;;;0;K. Mbappé;KM;-7.136842142153434;7.0;5.0;6.0;3.0;0.01935132;0.01689528;-0.002456040000000003
2847226575;11;Pass;1;0;55;3kq9cckrnlogidldtdie2fkbl;Successful;63.959999999999994;38.0;67.32;47.28;0;0;Éder Militão;;;0;É. Militão;ÉM;2.8950343418143447;6.0;3.0;6.0;4.0;0.01689528;0.01689528;0.0
2847226613;12;Pass;1;0;58;3kq9cckrnlogidldtdie2fkbl;Successful;63.959999999999994;46.32;65.75999999999999;61.36000000000001;0;0;F. Valverde;;;0;F. Valverde;FV;-1.8990673050094529;6.0;4.0;6.0;6.0;0.01689528;0.01611813;-0.0007771499999999973
2847226653;13;Pass;1;1;1;3kq9cckrnlogidldtdie2fkbl;Successful;74.04;65.12;88.68;77.52000000000001;0;0;Dean Huijsen;;;0;D. Huijsen;DH;3.502610140387908;7.0;6.0;8.0;7.0;0.01870347;0.02122129;0.0025178200000000005
2847226693;14;Pass;1;1;3;3kq9cckrnlogidldtdie2fkbl;Successful;89.28;77.04;117.35999999999999;66.0;0;0;Rodrygo;;;0;Rodrygo;RO;21.987825788238027;9.0;7.0;11.0;6.0;0.02756312;0.04647721;0.018914089999999998
2847226719;15;Pass;1;1;6;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;117.84;66.72000000000001;103.68;40.080000000000005;Cross;0;Álvaro Carreras;;;0;Á. Carreras;ÁC;0.0;;;;;;;
2847226725;13;Ball touch;1;1;8;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;18.0;39.28;0.0;0.0;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;0.0;7.0;6.0;8.0;7.0;0.01870347;0.02122129;0.0025178200000000005
2847226763;14;Error;1;1;9;27xvwccz8kpmqsefjv2b2sc0o;Successful;16.68;38.800000000000004;0.0;0.0;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;0.0;9.0;7.0;11.0;6.0;0.02756312;0.04647721;0.018914089999999998
2847226751;16;Miss;1;1;10;3kq9cckrnlogidldtdie2fkbl;Successful;109.68;46.0;0.0;0.0;0;0;K. Mbappé;;;0;K. Mbappé;KM;0.0;0.0;4.0;0.0;4.0;0.00941056;0.00941056;0.0
2847226897;15;Out;1;1;11;27xvwccz8kpmqsefjv2b2sc0o;Successful;-1.68;48.32;0.0;0.0;0;0;P. Højbjerg;;;0;P. Højbjerg;PH;0.0;;;;;;;
2847226791;17;Out;1;1;11;3kq9cckrnlogidldtdie2fkbl;Unsuccessful;121.68;31.680000000000003;0.0;0.0;0;0;K. Mbappé;;;0;K. Mbappé;KM;0.0;;;;;;;
2847227251;16;Pass;1;1;44;27xvwccz8kpmqsefjv2b2sc0o;Successful;4.32;48.080000000000005;6.0;41.2;0;0;F. Medina;;;0;F. Medina;FM;1.9555263853271185;0.0;4.0;0.0;4.0;0.00941056;0.00941056;0.0
2847228307;29;Pass;1;1;45;27xvwccz8kpmqsefjv2b2sc0o;Successful;4.56;41.04;9.48;27.680000000000003;0;0;G. Rulli;;;0;G. Rulli;GR;4.2401307260440575;0.0;4.0;0.0;2.0;0.00941056;0.0088799;-0.0005306600000000005
2847227259;17;Pass;1;1;47;27xvwccz8kpmqsefjv2b2sc0o;Unsuccessful;18.24;11.120000000000001;39.84;30.880000000000003;0;0;L. Balerdi;;;0;L. Balerdi;LB;0.0;;;;;;;
2847227279;19;Ball recovery;1;1;50;3kq9cckrnlogidldtdie2fkbl;Successful;78.0;46.88;0.0;0.0;0;0;Dean Huijsen;;;0;D. Huijsen;DH;0.0;;;;;;;
2847227321;20;Pass;1;1;50;3kq9cckrnlogidldtdie2fkbl;Successful;79.44;46.0;88.68;48.080000000000005;0;0;Dean Huijsen;;;0;D. Huijsen;DH;8.655925073657137;8.0;4.0;8.0;4.0;0.02385149;0.02385149;0.0
2847227355;21;Pass;1;1;53;3kq9cckrnlogidldtdie2fkbl;Successful;86.04;51.92000000000001;74.16;53.760000000000005;0;0;A. Güler;;;0;A. Güler;AG;-11.869443281500992;8.0;5.0;7.0;5.0;0.0241224;0.01935132;-0.004771079999999997
2847227373;22;Pass;1;1;55;3kq9cckrnlogidldtdie2fkbl;Successful;74.52;52.400000000000006;70.8;47.120000000000005;0;0;A. Tchouaméni;;;0;A. Tchouaméni;AT;-2.5724029860844624;7.0;5.0;7.0;4.0;0.01935132;0.0199707;0.0006193799999999992
2847227385;23;Pass;1;1;57;3kq9cckrnlogidldtdie2fkbl;Successful;72.24;48.480000000000004;80.39999999999999;43.760000000000005;0;0;F. Valverde;;;0;F. Valverde;FV;8.728884657121483;7.0;4.0;8.0;4.0;0.0199707;0.02385149;0.0038807899999999985
2847227397;24;Pass;1;1;58;3kq9cckrnlogidldtdie2fkbl;Successful;80.39999999999999;43.760000000000005;72.47999999999999;46.080000000000005;0;0;A. Güler;;;0;A. Güler;AG;-8.129272772452353;8.0;4.0;7.0;4.0;0.02385149;0.0199707;-0.0038807899999999985
2847227429;25;Pass;1;2;0;3kq9cckrnlogidldtdie2fkbl;Successful;66.96;44.96000000000001;67.2;28.160000000000004;0;0;F. Valverde;;;0;F. Valverde;FV;-0.8398228650929269;6.0;4.0;6.0;2.0;0.01689528;0.01685596;-3.931999999999894e-05
2847227495;26;Pass;1;2;1;3kq9cckrnlogidldtdie2fkbl;Successful;69.96;28.8;83.39999999999999;2.8800000000000003;0;0;Éder Militão;;;0;É. Militão;ÉM;-0.8511276156492826;7.0;2.0;8.0;0.0;0.01935132;0.02122129;0.0018699699999999986
2847227521;27;Pass;1;2;6;3kq9cckrnlogidldtdie2fkbl;Successful;72.84;6.800000000000001;72.84;17.76;0;0;T. Alexander-Arnold;;;0;T. Alexander-Arnold;TA;5.533139380374756;7.0;0.0;7.0;1.0;0.0174506;0.01870347;0.0012528699999999997
2847227549;28;Pass;1;2;8;3kq9cckrnlogidldtdie2fkbl;Successful;72.84;17.76;79.91999999999999;32.480000000000004;0;0;F. Valverde;;;0;F. Valverde;FV;11.3616261376078;7.0;1.0;7.0;3.0;0.01870347;0.0199707;0.0012672300000000011
